,y$`Article Date`,text
1,18-Apr-17,"The American Petroleum Institute (API) reported a draw of 840,000 barrels in United States crude oil inventories, compared to analyst…,BP has filed a lawsuit against Monroe Energy in a federal court, claiming the refiner wrongfully terminated a contract last…,A Brazilian court has suspended the $2.5-billion sale of Petrobras’ stake in the giant Carcara field to Norwegian Statoil after the…"
2,14-Apr-17,"North Sea crude oil and condensate production will decline by 40,000 bpd next year as fewer new projects come online,…"
3,13-Apr-17,"Regulatory filings show that ExxonMobil CEO turned U.S. Secretary of State Rex Tillerson made $27.4 million last year, according to…"
4,12-Apr-17,"The Egyptian cabinet has agreed to purchase one million barrels of oil from Iraq monthly, according to a statement by the…,Saudi Arabia will export full volumes of crude oil to at least three Asian clients next month, sources from the…"
5,11-Apr-17,"Russia’s Energy Ministry will soon begin talking with domestic oil companies about the option to extend the production cuts beyond…,Nigeria’s National Oil Corporation said its trading deficit for January had slimmed down to $50 million (14.26 billion naira) from $60…"
6,7-Apr-17,"The number of mining jobs in the United States increased in March according to the latest data from the Bureau…,Lukoil, Russia’s second-biggest oil producer, will discuss later this year the possible sale of its Ukhta refinery and one-third of…"
7,6-Apr-17,"Russia’s oil giant Rosneft expects to receive the first crude oil cargo of 600,000 barrels from the Kurdistan Regional Government…"
8,5-Apr-17,"China plans to start imposing consumption taxes on oil by-products such as light cycle oil and bitumen blend, which could…"
9,4-Apr-17,"A new report from the American Petroleum Institute (API) on Monday predicted significant and damaging impacts from the Customs and…,Russia’s gas giant Gazprom is reviewing how a potential ‘hard’ Brexit would impact its EU gas trading business which is…,Platts Analytics Bentek Energy has forecasted that crude oil output in the U.S. part of the Gulf of Mexico will…"
10,3-Apr-17,Malaysia’s state oil and gas company Petronas announced the loading of the first liquefied natural gas cargo from a floating…
11,31-Mar-17,"Oil prices are set to hit the $70 barrel mark later this year, according to Pierre Andurand, the managing partner…,Julio Borges, the head of Venezuela’s National Assembly, ripped up a resolution on Thursday that would have allowed President Nicolas…,Shell’s Nigerian unit has shut down one of two lines that carry Bonny Light crude to the export terminal in…,Venezuela’s problems are spreading to its trading partners: Cuba announced it will be cutting supplies of premium gasoline because of…"
12,30-Mar-17,"Nearly a decade after Nigeria first drafted its Petroleum Industry Bill, Nigeria’s Senate will be asked next month to discuss…"
13,29-Mar-17,"Venezuela’s main oil terminal, Jose, suffered disruptions in operations on Tuesday after a break in a pipeline had led to…"
14,28-Mar-17,London-listed oil services provider Petrofac said on Tuesday that it had won a contract with Kuwait Oil Company for a…
15,24-Mar-17,"Russia is budgeting its federal spending to expectations that oil prices will hover around $40 a barrel for the next…,In a bid to attract more foreign investment, Nigeria’s government has introduced a new, faster visa application procedure that will…"
16,23-Mar-17,"Pioneer Natural Resources signed a contract to sell a $266 million acreage package in Martin Country, Texas, to an undisclosed…,Algeria’s state oil company released plans to ramp up production by 14 percent by in four years while making massive…,Much cheaper, shorter-cycle and easier to pump U.S. shale has made Arctic oil exploration economically unjustifiable at the current oil…,Amid confusing discrepant production, export figures. and baselines for OPEC’s cut deal, the cartel’s de facto leader and biggest producer…"
17,22-Mar-17,"Libyan oil production rose to a 700,000-barrel-per-day production rate on Wednesday, after a series of clashes between militant groups in…,Prime Minister Narendra Modi’s cabinet approved a new rule to give some oil and gas companies with active leases on…"
18,21-Mar-17,The American Petroleum Institute (API) reported a build of 4.529 million barrels in United States crude oil inventories against expert…
